comment,score
挺好的，穿上刚好合身，很舒服，质量也不错，店家服务态度很好，值得入手,5
面料很薄，适合夏天较热的时候穿！,5
码数很正规，物超所值！,5
衣服材质舒适。质量也非常好。快递小哥很好还会再来的,5
好，非常好，大品牌质量好。京东自营配送速度很快。,5
很好，穿上这衣服还不错，我很满意,5
韵达的快递员真心挺好的。服务态度超赞,5
特别喜欢，，，，下次还会再买,5
好看，料子也很好舒服,5
衣服很好，给您们一个满评。,5
挺好的，穿上刚好合身，很舒服，质量也不错，店家服务态度很好，值得入手,5
面料很薄，适合夏天较热的时候穿！,5
码数很正规，物超所值！,5
衣服材质舒适。质量也非常好。快递小哥很好还会再来的,5
好，非常好，大品牌质量好。京东自营配送速度很快。,5
很好，穿上这衣服还不错，我很满意,5
韵达的快递员真心挺好的。服务态度超赞,5
特别喜欢，，，，下次还会再买,5
好看，料子也很好舒服,5
衣服很好，给您们一个满评。,5
很不错，很适合，很好，秒赞,5
不错，穿起来很修身！,5
发货速递很快，货也可以！,5
货品收到，小弟穿着合适，价格还好，给五星赞。,5
质量不错！手感很好，颜色很喜欢?！只是发的天天快递速度太慢了点！不过我还是要点个赞?,5
收到货了，实惠，质量还不错，赞一个,5
还行吧   质量确实不敢恭维   不过这个价格算不错了,5
真的不错啊，快递快，衣服也蛮好的，适合我们少年人穿,5
买小了，不适合我的身材，下次一定要选好点，但是物流速度让我很满意,5
这衣服挺靠谱，穿起来挺舒服，大小合适。,5
东西可以，就是尺码比平时的小,5
穿着挺好的，号码正好合适,5
不觉得很好，感觉就像是丧衣??,5
穿着舒服，不一般哦！试着好,5
送货快 值得购买！！！！,5
物流速度挺快的，衣服在这个价格上，还是不错的。,5
穿着不错了，还可以，不错,5
出货速度快，服务态度好，下次还选它。,5
物流速度快，衣服一般，还算可以,4
收到货了，实惠，质量还不错，赞一个,5
恩，质感不错，还好了,5
可以，感觉美美得。还实惠,5
还不错，以后回多多光顾,5
物流速度快，衣服质量一般,5
还可以。。。。。。。。。,5
给男朋友买的，看他穿着不错，就是不知道他什么尺寸，买小了,5
穿了一段时间质量还行，码偏小，建议买大一码的,5
还没试穿……看上去还可以,5
还可以吧   就是有点大了,5
布料不错，就是号码不标准,5
还可以  一分钱一分货 还真是一块钱的布料,5
还可以，就是物流慢了点，服务态度差了点。,5
还行吧   毕竟  一分钱一分货嘛,5
衣服还行，一份价钱一分货吗？,5
宝贝不错，跟相片上的差不多，嗯，以后还会支持,5
还可以吧，就是褶子有点多。,5
领子，好长，穿着他们说我脖子短,5
一分钱一分货，这个价钱还可以！,5
还好发来就脏了,5
货收到了。挺好的,5
**的，好个屁跟本不一样,5
还可以，就是运费有点贵。,5
质量还可以,5
衣服不错，，就是快递慢了点！,5
小了，应该大一号的,5
挺好的,5
挺好,4
弟弟买的不知道怎么样,5
可以的，实用没问题,5
挺好的，穿着舒服,5
很不错，质量好！,5
买了两件了,5
物品收到了，感觉质量还算可以。,5
不错可以的，,5
还好哈哈哈哈哈哈红红火火,5
顶顶顶顶顶顶顶顶顶顶顶顶,5
挺好的质量还行吧，不错的,5
穿起来还行,3
还行吧，，，，，,3
不错的选择，你值得拥有。,5
真的很不错，质量也很好。,5
还行吧，，，，，，,5
还可以。。。。。,5
还行吧，，，，,5
衣服不错 质量也好 好评,5
物有所值穿着还可以,5
挺好的一件衣服合适,5
还行，，，，，，,5
噗嗤。。。。。。,5
还可以，买了两次了,5
衣服不错，下次还来,5
挺不错的有点意思,5
习惯好评  从不晒图,5
挺合身的，不错不错,5
还是不错的  挺好的,5
很好    很好   不错不错,5
还行，就是有点大,5
非常不错的一次,5
还不错，质量可以,5
这个还行，挺好的,5
